,Code,Title,Session,Details
163,CSC373H1-F,"Algorithm Design, Analysis & Complexity",LEC5201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5201
Monday 17:00 — 18:00
Tuesday 15:00 — 16:00
Thursday 15:00 — 17:00
—
BA 1130
SS 2117
Singh, K.
62 of 125 available Yes: 0 student
Enrolment Controls: Priority (P)"
164,CSC373H1-F,"Algorithm Design, Analysis & Complexity",LEC5301,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5301
Monday 18:00 — 19:00
Wednesday 18:00 — 21:00
—
BA 1190
Shah, N.
45 of 125 available Yes: 0 student
Enrolment Controls: Priority (P)"
165,CSC373H1-S,"Algorithm Design, Analysis & Complexity",LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 11:00 — 12:00
Monday 16:00 — 17:00
Wednesday 11:00 — 12:00
Friday 11:00 — 12:00
RW 110
RW 110
RW 110
RW 110
—
0 of 125 available Yes: 32 students
Enrolment Controls: Priority (P)"
166,CSC373H1-S,"Algorithm Design, Analysis & Complexity",LEC2003,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC2003
Monday 11:00 — 12:00
Monday 16:00 — 17:00
Wednesday 11:00 — 12:00
Friday 11:00 — 12:00
RW 110
RW 110
RW 110
RW 110
—
0 of 5 available Yes: 3 students
Enrolment Controls: Restricted (R1)"
167,CSC373H1-S,"Algorithm Design, Analysis & Complexity",LEC5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Monday 17:00 — 18:00
Wednesday 18:00 — 21:00
BA 1180
BA 1180
Borodin, A.
0 of 125 available Yes: 25 students
Enrolment Controls: Priority (P)"
168,CSC384H1-F,Introduction to Artificial Intelligence,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 13:00 — 14:00
Wednesday 13:00 — 14:00
Friday 13:00 — 14:00
BA 1170
BA 1170
BA 1170
Bacchus, F.
14 of 103 available Yes: 0 student
Enrolment Controls: Priority (P)"
169,CSC384H1-F,Introduction to Artificial Intelligence,LEC0201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0201
Monday 14:00 — 15:00
Wednesday 14:00 — 15:00
Friday 14:00 — 15:00
BA 1180
BA 1180
BA 1180
Bacchus, F.
18 of 125 available Yes: 0 student
Enrolment Controls: Priority (P)"
170,CSC384H1-F,Introduction to Artificial Intelligence,LEC2001,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC2001
Monday 13:00 — 14:00
Wednesday 13:00 — 14:00
Friday 13:00 — 14:00
BA 1170
BA 1170
BA 1170
Bacchus, F.
3 of 22 available Yes: 0 student
Enrolment Controls: Restricted (R1)"
171,CSC384H1-S,Introduction to Artificial Intelligence,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 13:00 — 14:00
Wednesday 13:00 — 14:00
Friday 13:00 — 14:00
BR 200
BA 1190
BA 1190
—
0 of 125 available Yes: 50 students
Enrolment Controls: Priority (P)"
172,CSC384H1-S,Introduction to Artificial Intelligence,LEC0201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0201
Monday 15:00 — 16:00
Wednesday 15:00 — 16:00
Friday 15:00 — 16:00
KP 108
KP 108
KP 108
—
0 of 65 available Yes: 33 students
Enrolment Controls: Priority (P)"
173,CSC384H1-S,Introduction to Artificial Intelligence,LEC2001,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC2001
Monday 15:00 — 16:00
Wednesday 15:00 — 16:00
Friday 15:00 — 16:00
KP 108
KP 108
KP 108
—
0 of 60 available Yes: 28 students
Enrolment Controls: Restricted (R1)"
174,CSC384H1-S,Introduction to Artificial Intelligence,LEC5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Wednesday 18:00 — 20:00
Wednesday 20:00 — 21:00
BA 1190
BA 1190
—
0 of 125 available Yes: 48 students
Enrolment Controls: Priority (P)"
